english,spanish,english_length,spanish_length
i need to borrow your car this afternoon .,necesito llevarme tu coche esta tarde .,9,7
i was almost afraid to talk to you .,casi me daba miedo hablarte .,9,6
that s why i asked .,por eso pregunté .,6,4
he takes vitamins .,él toma vitaminas .,4,4
i remember your father .,recuerdo a tu padre .,5,5
he was aiming a gun at them .,él les apuntaba con una arma .,8,7
"may i park here ? no , you can t .","¿ puedo estacionar aquí ? no , no puede .",11,10
i like your shirt .,me gusta tu camisa .,5,5
i already have a family .,ya tengo una familia .,6,5
let me call tom .,déjame llamar a tom .,5,5
i didn t plan on doing that .,no planeé hacerlo .,8,4
climbing that mountain was a piece of cake .,escalar aquella montaña fue pan comido .,9,7
mary s sickness does not stop her from enjoying life .,la enfermedad de mary no le impide disfrutar la vida .,11,11
they were so busy they didn t realize what time it was .,ellos estaban tan ocupados que no se dieron cuenta de qué hora era .,13,14
i m not a kid anymore .,ya no soy un niño .,7,6
the food was very good .,la comida era muy buena .,6,6
my best friend dances really well .,mi mejor amigo baila realmente bien .,7,7
do you like wearing hats ?,¿ os gusta llevar sombrero ?,6,6
i d lend you money if i could .,te prestaría dinero si tuviera .,9,6
i never said you were boring .,nunca dije que fueras aburrido .,7,6
i m not rich enough .,no soy suficientemente rico .,6,5
tom s jealous .,tomás tiene celos .,4,4
i didn t have time to swim .,no tuve tiempo para nadar .,8,6
"i feel betrayed , but i still like her .","me siento traicionado , pero todavía me gusta ella .",10,10
i d love to meet him .,me encantaría conocerlo .,7,4
he studied how birds flew .,estudió cómo volaron las aves .,6,6
please tell tom .,"por favor , díselo a tom .",4,7
tom certainly didn t sound alarmed .,tom ciertamente no sonaba alarmado .,7,6
i am not as interested in literature as you .,no me interesa la literatura tanto como a ti .,10,10
i m not blaming you .,no te estoy culpando .,6,5
this book is a good guide for beginners .,este libro es una buena guía para principiantes .,9,9
this can t be a coincidence .,esto no puede ser coincidencia .,7,6
i had forgotten that i had met her several years ago .,había olvidado que hace varios años atrás la había conocido .,12,11
tom doesn t want to talk about his private life .,tom no quiere hablar de su vida privada .,11,9
the ship sails for honolulu tomorrow .,el barco zarpa a honolulu mañana .,7,7
it s too dangerous for you to stay here .,es demasiado peligroso que te quedes aquí .,10,8
tom knows mary quite well .,tom conoce muy bien a mary .,6,7
you need to know .,necesitas saber .,5,3
i ve been practicing a long time for this .,he practicado por mucho tiempo para esto .,10,8
the arsonist was never apprehended .,nunca apresaron al pirómano .,6,5
i won t be able to see where i m going without a flashlight .,no seré capaz de ver adónde voy sin una linterna .,15,11
have they reported it to the police yet ?,¿ dieron ya parte a la policía ?,9,8
i m not saying it s tom s fault .,no estoy diciendo que sea culpa de tom .,10,9
don t worry about others .,no te preocupes por los otros .,6,7
i can t protect you here .,no puedo protegerte aquí .,7,5
turn the computer on .,prende la computadora .,5,4
do you understand what he s told you ?,¿ entiendes lo que te ha contado ?,9,8
anything you re good at contributes to happiness .,cualquier cosa en la que eres bueno contribuye a la felicidad .,9,12
"do you want something to drink ? no , thank you .","¿ quieres algo de beber ? no , gracias .",12,10
i do remember the incident quite well .,claro que recuerdo el incidente bastante bien .,8,8
what is your address ?,¿ cuál es su dirección ?,5,6
you reap what you sow .,recoges lo que siembras .,6,5
i haven t asked tom .,no le he preguntado a tom .,6,7
better to die standing than to live on your knees .,es mejor morir de pie que vivir arrodillado .,11,9
this is where i live .,aquí es donde vivo .,6,5
i thought that we weren t going to do this .,pensé que no íbamos a hacer esto .,11,8
put your mask on .,ponte la mascarilla .,5,4
these socks were left outside .,esos calcetines se han quedado fuera .,6,7
i killed two birds with one stone .,derribé dos pájaros con una sola piedra .,8,8
tom and mary are still married .,tom y mary aún están casados .,7,7
i m glad we agree on something .,me alegra que estemos de acuerdo en algo .,8,9
i don t think it s dangerous .,no creo que sea peligroso .,8,6
tom should ve arrived already .,tom ya debería haber llegado .,6,6
"give me five gallons of gas , please .","deme cinco galones de gasolina , por favor .",9,9
he s looking at me .,él me está mirando .,6,5
do you go running every day ?,¿ te vas a correr todos los días ?,7,9
it s time for us to go home .,ya es hora de irnos a casa .,9,8
"believe me , i don t want to die .","créeme , no quiero morir .",10,6
they re normal people .,son gente corriente .,5,4
ring the bell when you want me .,haz sonar el timbre cuando me requieras .,8,8
she s giving each child two apples .,le está dando dos manzanas a cada niño .,8,9
i ve always wanted to see your house .,siempre he querido ver tu casa .,9,7
tom reads the new york times .,tom lee el new york times .,7,7
i did it according to your instructions .,lo hice de acuerdo con sus instrucciones .,8,8
it must be true .,debe de ser verdad .,5,5
we have a son and a daughter .,tenemos un hijo y una hija .,8,7
would you like to order ?,¿ desea ordenar ?,6,4
tom pretended not to have any money .,tom fingió que no tenía nada de dinero .,8,9
how high can you jump ?,¿ a qué altura puedes saltar ?,6,7
how long will you be staying ?,¿ por cuánto te vas a quedar ?,7,8
my physics teacher doesn t care if i skip classes .,a mi profesor de física no le importa si me salto las clases .,11,14
are you tired now ?,¿ estás ahora cansado ?,5,5
there are only two seasons in the tropics .,en los trópicos hay sólo dos estaciones .,9,8
get out of here quickly !,"¡ rápido , sal de aquí !",6,7
"if you want to read the full report , visit our site .","si querés leer el reportaje íntegro , accedé a nuestro sitio .",13,12
it is really wonderful .,es realmente maravilloso .,5,4
traffic lights work all the time .,los semáforos funcionan todo el tiempo .,7,7
he must be crazy to act like that .,tiene que estar loco para actuar de esa manera .,9,10
"you go to school , right ?","vas a la escuela , ¿ verdad ?",7,8
why didn t you eat ?,¿ por qué no comieron ?,6,6
"if you see a suspicious person , please inform the police .","si ves a una persona sospechosa , por favor informa a la policía .",12,14
it rained yesterday afternoon .,llovió ayer por la tarde .,5,6
everybody needs one .,todos necesitan uno .,4,4
can you eat raw oysters ?,¿ se pueden comer las ostras crudas ?,6,8
i m sorry about last time .,lamento lo de la última vez .,7,7
you should run for mayor .,deberías presentarte para alcalde .,6,5
have you ever come to our meetings ?,¿ has venido alguna vez a nuestras reuniones ?,8,9
my father likes his job .,a mi padre le gusta su trabajo .,6,8
today s the big day .,hoy es el gran día .,6,6
you are a good cook .,eres una buena cocinera .,6,5
this is a chinese fan .,este es un abanico chino .,6,6
please give me a glass of water .,"por favor , deme un vaso de agua .",8,9
i just want to rest .,solo quiero descansar .,6,4
we re like family .,somos como una familia .,5,5
did you feed the dog this morning ?,¿ alimentaste al perro esta mañana ?,8,7
i don t want to shout .,no quiero gritar .,7,4
tom wanted to follow in his father s footsteps .,tom quería seguir los pasos de su padre .,10,9
"whether you like it or not , you ll have to do it .","tendrás que hacerlo , te guste o no .",14,9
tom died at an early age .,tom murió a una edad joven .,7,7
no one would say that .,nadie lo diría .,6,4
the gate is closed at eight .,el portón se cierra a las ocho .,7,8
this is why i quit the job .,es por esto que renuncié al empleo .,8,8
it was dark in the room .,la habitación estaba a oscuras .,7,6
he is endowed with many talents .,él está dotado de muchos talentos .,7,7
their sales are growing .,sus ventas están creciendo .,5,5
i can t even help myself .,ni siquiera puedo evitarlo .,7,5
life s not fair .,la vida es injusta .,5,5
"year after year , production continued to increase .",la producción siguió aumentando año tras año .,9,8
tom has a sister who can speak french .,tom tiene una hermana que puede hablar francés .,9,9
i wish i could eat some chocolate ice cream right now .,ojalá pudiera comerme un poco de helado de chocolate ahora mismo .,12,12
my father was busy .,mi padre estaba ocupado .,5,5
she glanced shyly at him .,ella lo miró tímidamente a él .,6,7
someone just turned off the lights .,alguien acaba de apagar la luz .,7,7
he likes sports as well as music .,a él le gustan los deportes tanto como la música .,8,11
tom doesn t know how to dance .,tom no sabe bailar .,8,5
he was standing at the door .,él estaba parado en la puerta .,7,7
tom changed his name .,tomás se cambió de nombre .,5,6
who do you work for ?,¿ para quién trabajas ?,6,5
tom is planning a trip .,tomás está planificando un viaje .,6,6
women today drink as much as men .,"hoy en día , las mujeres beben tanto como los hombres .",8,12
"tom is a little jealous , isn t he ?","tom es un poco celoso , ¿ no ?",10,9
tom gave mary john s message .,tom le dio a mary el mensaje de john .,7,10
you spend half your life sleeping .,os pasáis media vida durmiendo .,7,6
i like that tie .,me gusta aquella corbata .,5,5
my father reads the newspaper every morning .,mi padre lee el periódico todas las mañanas .,8,9
tom promised to take me fishing .,tom me prometió llevarme de pesca .,7,7
what i want now is ice cream .,lo que quiero ahora es helado .,8,7
it s easier to teach children than adults .,enseñarle a los niños es más fácil que a los adultos .,9,12
i have less than fifteen .,tengo menos de quince .,6,5
you never tell me anything .,nunca me contáis nada .,6,5
you must be the new teacher .,usted debe ser la nueva maestra .,7,7
don t talk like that .,no hables de esa manera .,6,6
my favorite color is brown .,mi color preferido es el marrón .,6,7
why can t animals talk ?,¿ por qué los animales no pueden hablar ?,6,9
he tends to talk too much .,él tiende a hablar demasiado .,7,6
there are many bridges in this city .,hay muchos puentes en esta ciudad .,8,7
all four of the boys didn t have alibis .,todos los cuatro muchachos no tenían coartadas .,10,8
tom isn t worried about his grades .,tom no está preocupado por sus calificaciones .,8,8
is there an atm around here ?,¿ hay algún cajero automático por acá ?,7,8
tom doubted that mary would call back .,tom dudaba que mary le devolviera la llamada .,8,9
is that why you want to kill me ?,¿ es por eso que me quieres matar ?,9,9
i didn t ask him for anything .,yo no le pedí nada .,8,6
it never happened .,nunca pasó .,4,3
i didn t understand much of what they were talking about .,no entendí mucho de lo que estaban hablando .,12,9
nobody is going to hurt you .,nadie va a lastimarte .,7,5
i don t go in for that sort of thing .,no le voy a ese tipo de cosas .,11,9
tom won a free car .,tom se ganó un auto gratis .,6,7
i m not working tonight .,esta noche no trabajo .,6,5
"i accept , but only under one condition .","acepto , pero sólo bajo una condición .",9,8
we are going to visit our aunt next sunday .,el próximo domingo iremos a visitar a nuestra tía .,10,10
i have a message for you from your father .,tengo un mensaje de tu padre para ti .,10,9
"don t hang up yet , please .","no cuelgues todavía , por favor .",8,7
croatia is a country located in the southeastern part of europe .,croacia es un país situado en el sudeste de europa .,12,11
my son wants to be a professional golfer .,mi hijo quiere ser un golfista profesional .,9,8
i know how to keep a secret .,yo sé guardar un secreto .,8,6
tom is convinced of mary s innocence .,tom está convencido de la inocencia de mary .,8,9
what s your favorite outfit ?,¿ cuál es tu conjunto favorito ?,6,7
i have to set an example .,tengo que poner un ejemplo .,7,6
that s unlikely to happen .,eso es improbable que ocurra .,6,6
i told tom the reason why i wouldn t be able to go .,le conté a tom la razón por la que no podría ir .,14,13
i m attentive .,yo soy atento .,4,4
i feel honored .,me siento honrado .,4,4
